Año,Trimestre,Provincia,Mbps (Media de bajada)
2019,3,BUENOS AIRES,25.68
2019,3,CAPITAL FEDERAL,38.71
2019,3,CATAMARCA,9.29
2019,3,CHACO,19.99
2019,3,CHUBUT,6.97
2019,3,CORDOBA,23.19
2019,3,CORRIENTES,16.7
2019,3,ENTRE RIOS,14.7
2019,3,FORMOSA,13.22
2019,3,JUJUY,11.97
2019,3,LA PAMPA,5.72
2019,3,LA RIOJA,8.0
2019,3,MENDOZA,6.11
2019,3,MISIONES,17.93
2019,3,NEUQUEN,23.75
2019,3,RIO NEGRO,15.98
2019,3,SALTA,14.75
2019,3,SAN JUAN,6.04
2019,3,SAN LUIS,19.74
2019,3,SANTA CRUZ,5.02
2019,3,SANTA FE,18.17
2019,3,SANTIAGO DEL ESTERO,9.39
2019,3,TIERRA DEL FUEGO,6.69
2019,3,TUCUMAN,19.32
2019,2,BUENOS AIRES,22.48
2019,2,CAPITAL FEDERAL,30.35
2019,2,CATAMARCA,8.81
2019,2,CHACO,16.01
2019,2,CHUBUT,6.05
2019,2,CORDOBA,18.43
2019,2,CORRIENTES,13.83
2019,2,ENTRE RIOS,12.19
2019,2,FORMOSA,10.84
2019,2,JUJUY,12.07
2019,2,LA PAMPA,5.49
2019,2,LA RIOJA,7.89
2019,2,MENDOZA,6.03
2019,2,MISIONES,14.5
2019,2,NEUQUEN,17.24
2019,2,RIO NEGRO,11.63
2019,2,SALTA,12.55
2019,2,SAN JUAN,6.12
2019,2,SAN LUIS,19.88
2019,2,SANTA CRUZ,6.01
2019,2,SANTA FE,15.07
2019,2,SANTIAGO DEL ESTERO,7.1
2019,2,TIERRA DEL FUEGO,6.34
2019,2,TUCUMAN,18.53
2019,1,BUENOS AIRES,19.64
2019,1,CAPITAL FEDERAL,24.72
2019,1,CATAMARCA,7.96
2019,1,CHACO,13.44
2019,1,CHUBUT,5.89
2019,1,CORDOBA,15.73
2019,1,CORRIENTES,12.05
2019,1,ENTRE RIOS,10.66
2019,1,FORMOSA,9.83
2019,1,JUJUY,8.56
2019,1,LA PAMPA,5.06
2019,1,LA RIOJA,7.09
2019,1,MENDOZA,5.74
2019,1,MISIONES,12.51
2019,1,NEUQUEN,15.88
2019,1,RIO NEGRO,10.49
2019,1,SALTA,10.38
2019,1,SAN JUAN,5.84
2019,1,SAN LUIS,8.71
2019,1,SANTA CRUZ,5.78
2019,1,SANTA FE,12.99
2019,1,SANTIAGO DEL ESTERO,6.42
2019,1,TIERRA DEL FUEGO,6.34
2019,1,TUCUMAN,16.57
2018,4,BUENOS AIRES,16.93
2018,4,CAPITAL FEDERAL,22.94
2018,4,CATAMARCA,8.04
2018,4,CHACO,13.49
2018,4,CHUBUT,6.09
2018,4,CORDOBA,15.81
2018,4,CORRIENTES,12.14
2018,4,ENTRE RIOS,11.02
2018,4,FORMOSA,9.82
2018,4,JUJUY,8.56
2018,4,LA PAMPA,4.32
2018,4,LA RIOJA,7.09
2018,4,MENDOZA,5.75
2018,4,MISIONES,12.5
2018,4,NEUQUEN,15.89
2018,4,RIO NEGRO,10.49
2018,4,SALTA,10.46
2018,4,SAN JUAN,5.72
2018,4,SAN LUIS,8.82
2018,4,SANTA CRUZ,5.12
2018,4,SANTA FE,13.18
2018,4,SANTIAGO DEL ESTERO,6.31
2018,4,TIERRA DEL FUEGO,7.44
2018,4,TUCUMAN,16.58
2018,3,BUENOS AIRES,16.78
2018,3,CAPITAL FEDERAL,21.64
2018,3,CATAMARCA,7.81
2018,3,CHACO,12.89
2018,3,CHUBUT,6.08
2018,3,CORDOBA,14.82
2018,3,CORRIENTES,11.49
2018,3,ENTRE RIOS,10.52
2018,3,FORMOSA,9.32
2018,3,JUJUY,7.67
2018,3,LA PAMPA,4.28
2018,3,LA RIOJA,6.16
2018,3,MENDOZA,5.79
2018,3,MISIONES,12.49
2018,3,NEUQUEN,14.67
2018,3,RIO NEGRO,10.06
2018,3,SALTA,9.27
2018,3,SAN JUAN,5.74
2018,3,SAN LUIS,8.81
2018,3,SANTA CRUZ,5.37
2018,3,SANTA FE,12.36
2018,3,SANTIAGO DEL ESTERO,5.78
2018,3,TIERRA DEL FUEGO,5.99
2018,3,TUCUMAN,15.26
2018,2,BUENOS AIRES,14.68
2018,2,CAPITAL FEDERAL,18.94
2018,2,CATAMARCA,7.69
2018,2,CHACO,12.5
2018,2,CHUBUT,5.33
2018,2,CORDOBA,13.88
2018,2,CORRIENTES,10.88
2018,2,ENTRE RIOS,10.19
2018,2,FORMOSA,8.97
2018,2,JUJUY,6.29
2018,2,LA PAMPA,4.1
2018,2,LA RIOJA,5.59
2018,2,MENDOZA,5.88
2018,2,MISIONES,11.76
2018,2,NEUQUEN,13.37
2018,2,RIO NEGRO,9.51
2018,2,SALTA,8.93
2018,2,SAN JUAN,5.85
2018,2,SAN LUIS,5.9
2018,2,SANTA CRUZ,5.19
2018,2,SANTA FE,11.75
2018,2,SANTIAGO DEL ESTERO,5.91
2018,2,TIERRA DEL FUEGO,5.94
2018,2,TUCUMAN,13.51
2018,1,BUENOS AIRES,14.2
2018,1,CAPITAL FEDERAL,17.75
2018,1,CATAMARCA,8.2
2018,1,CHACO,12.44
2018,1,CHUBUT,5.42
2018,1,CORDOBA,12.79
2018,1,CORRIENTES,11.12
2018,1,ENTRE RIOS,9.88
2018,1,FORMOSA,11.06
