Año,Trimestre,Provincia,Accesos por cada 100 hogares
2018,4,SAN JUAN,31.8962520702558
2018,4,SAN LUIS,67.5504536976004
2018,4,SANTA CRUZ,23.6891941006561
2018,4,SANTA FE,65.5870688619156
2018,4,SANTIAGO DEL ESTERO,37.4007259512934
2018,4,TIERRA DEL FUEGO,93.5925708620794
2018,4,TUCUMAN,41.7579696387777
2018,3,BUENOS AIRES,64.4405675975205
2018,3,CAPITAL FEDERAL,108.445914110219
2018,3,CATAMARCA,32.9159453741104
2018,3,CHACO,32.2831008330776
2018,3,CHUBUT,56.391745852269
2018,3,CORDOBA,64.2421002602934
2018,3,CORRIENTES,34.2499388738322
2018,3,ENTRE RIOS,50.2220138583775
2018,3,FORMOSA,29.5765734288784
2018,3,JUJUY,23.2637001371955
2018,3,LA PAMPA,71.7502365184484
2018,3,LA RIOJA,50.7330431805956
2018,3,MENDOZA,37.9905972679962
2018,3,MISIONES,32.103666418059
2018,3,NEUQUEN,60.4866167439691
2018,3,RIO NEGRO,50.5426480870375
2018,3,SALTA,39.4274134206841
2018,3,SAN JUAN,33.0514165039238
2018,3,SAN LUIS,52.3531149755192
2018,3,SANTA CRUZ,32.7278502945593
2018,3,SANTA FE,63.4096146162309
2018,3,SANTIAGO DEL ESTERO,36.2496169780513
2018,3,TIERRA DEL FUEGO,92.7719183939406
2018,3,TUCUMAN,41.6810135952876
2018,2,BUENOS AIRES,62.7822665109499
2018,2,CAPITAL FEDERAL,106.534941281467
2018,2,CATAMARCA,32.8575008674866
2018,2,CHACO,31.2517049960349
2018,2,CHUBUT,54.9023033373551
2018,2,CORDOBA,63.2743661231958
2018,2,CORRIENTES,33.8097539088117
2018,2,ENTRE RIOS,49.2026118705284
2018,2,FORMOSA,29.434226520797
2018,2,JUJUY,23.4322027298545
2018,2,LA PAMPA,71.0403378727806
2018,2,LA RIOJA,50.9778907392324
2018,2,MENDOZA,36.9728727240613
2018,2,MISIONES,31.6309076822218
2018,2,NEUQUEN,60.2367916140203
2018,2,RIO NEGRO,50.1478946239634
2018,2,SALTA,39.9371920998973
2018,2,SAN JUAN,32.9466488486842
2018,2,SAN LUIS,15.1504244913514
2018,2,SANTA CRUZ,33.3323645100661
2018,2,SANTA FE,62.5707923995744
2018,2,SANTIAGO DEL ESTERO,35.2564642111642
2018,2,TIERRA DEL FUEGO,91.6051962953856
2018,2,TUCUMAN,41.5125631700174
2018,1,BUENOS AIRES,62.6262116616845
2018,1,CAPITAL FEDERAL,106.235671745868
2018,1,CATAMARCA,32.7936161374153
2018,1,CHACO,30.8299276457025
2018,1,CHUBUT,53.7156048824891
2018,1,CORDOBA,63.5171696520162
2018,1,CORRIENTES,32.6634608731751
2018,1,ENTRE RIOS,48.6812024178572
2018,1,FORMOSA,21.4043102592114
2018,1,JUJUY,23.1212608756775
2018,1,LA PAMPA,71.751636922758
2018,1,LA RIOJA,51.4435101124481
2018,1,MENDOZA,37.0721511024033
2018,1,MISIONES,30.9567358844696
2018,1,NEUQUEN,61.5173903515637
2018,1,RIO NEGRO,49.8168613122324
2018,1,SALTA,39.7755916329188
2018,1,SAN JUAN,32.6091774516929
2018,1,SAN LUIS,15.1487903482749
2018,1,SANTA CRUZ,33.5527598985762
2018,1,SANTA FE,62.2819984430096
2018,1,SANTIAGO DEL ESTERO,34.9882694482421
2018,1,TIERRA DEL FUEGO,65.1996370235935
2018,1,TUCUMAN,41.1760093888662
2017,4,BUENOS AIRES,57.6096152902582
2017,4,CAPITAL FEDERAL,122.89742418735
2017,4,CATAMARCA,28.6209500939249
2017,4,CHACO,30.8081581112365
2017,4,CHUBUT,51.4630962674935
2017,4,CORDOBA,63.3326256520777
2017,4,CORRIENTES,32.5151183111876
2017,4,ENTRE RIOS,47.8852452937468
2017,4,FORMOSA,21.2709766892497
2017,4,JUJUY,22.742083716267
2017,4,LA PAMPA,71.0497610637856
2017,4,LA RIOJA,51.5684744054618
2017,4,MENDOZA,33.3256255341505
2017,4,MISIONES,31.1421848537985
2017,4,NEUQUEN,61.242323177851
2017,4,RIO NEGRO,49.3756297682453
2017,4,SALTA,39.796242471459
2017,4,SAN JUAN,30.2999291912817
2017,4,SAN LUIS,10.5867310697542
2017,4,SANTA CRUZ,28.9124928828068
2017,4,SANTA FE,61.7127712196729
2017,4,SANTIAGO DEL ESTERO,29.1263861095011
2017,4,TIERRA DEL FUEGO,59.8941359626362
2017,4,TUCUMAN,39.8968735176797
2017,3,BUENOS AIRES,55.6293833953396
2017,3,CAPITAL FEDERAL,121.858325909693
2017,3,CATAMARCA,32.4909256779052
2017,3,CHACO,29.9759256476576
2017,3,CHUBUT,46.2153774665184
2017,3,CORDOBA,62.3070022529633
2017,3,CORRIENTES,32.165435745938
2017,3,ENTRE RIOS,45.9581216701772
2017,3,FORMOSA,21.3503843800708
2017,3,JUJUY,22.6453629950826
2017,3,LA PAMPA,69.1399370114264
2017,3,LA RIOJA,51.465252304947
2017,3,MENDOZA,35.7049317772057
2017,3,MISIONES,30.2059909330319
2017,3,NEUQUEN,60.8304131050389
2017,3,RIO NEGRO,48.5186589395006
2017,3,SALTA,39.8397008069074
2017,3,SAN JUAN,32.3668893599598
2017,3,SAN LUIS,15.4778617902981
2017,3,SANTA CRUZ,33.2918297165896
2017,3,SANTA FE,60.9063556345152
2017,3,SANTIAGO DEL ESTERO,35.1210448843849
2017,3,TIERRA DEL FUEGO,65.7418047343459
2017,3,TUCUMAN,39.6953791612326
2017,2,BUENOS AIRES,56.2721441616913
2017,2,CAPITAL FEDERAL,124.061393756425
2017,2,CATAMARCA,25.9771210676835
2017,2,CHACO,29.0455247754534
2017,2,CHUBUT,35.5460111791441
2017,2,CORDOBA,58.9735289080036
2017,2,CORRIENTES,31.386121368355
2017,2,ENTRE RIOS,45.3893310282472
2017,2,FORMOSA,19.965076445262
2017,2,JUJUY,22.4034158946241
2017,2,LA PAMPA,63.4935264809968
2017,2,LA RIOJA,16.2034458061436
2017,2,MENDOZA,31.7586053613908
2017,2,MISIONES,30.0892480250859
2017,2,NEUQUEN,61.9101342766616
2017,2,RIO NEGRO,46.0208051229332
2017,2,SALTA,32.7394202636262
2017,2,SAN JUAN,26.964616120247
2017,2,SAN LUIS,9.5139703148683
