Año,Trimestre,Provincia,Accesos TV por suscripción (en miles)
2019,2,SANTA FE,603.03
2019,2,SANTIAGO DEL ESTERO,108.96
2019,2,TIERRA DEL FUEGO,45.81
2019,2,TUCUMAN,117.49
2019,1,BUENOS AIRES,2687.32
2019,1,CAPITAL FEDERAL,789.18
2019,1,CATAMARCA,33.12
2019,1,CHACO,107.09
2019,1,CHUBUT,90.68
2019,1,CORDOBA,1057.25
2019,1,CORRIENTES,101.35
2019,1,ENTRE RIOS,210.25
2019,1,FORMOSA,56.74
2019,1,JUJUY,87.89
2019,1,LA PAMPA,81.35
2019,1,LA RIOJA,25.93
2019,1,MENDOZA,140.5
2019,1,MISIONES,137.54
2019,1,NEUQUEN,80.03
2019,1,RIO NEGRO,90.12
2019,1,SALTA,174.73
2019,1,SAN JUAN,44.08
2019,1,SAN LUIS,53.56
2019,1,SANTA CRUZ,56.83
2019,1,SANTA FE,599.99
2019,1,SANTIAGO DEL ESTERO,109.22
2019,1,TIERRA DEL FUEGO,45.85
2019,1,TUCUMAN,118.64
2018,4,BUENOS AIRES,2670.84
2018,4,CAPITAL FEDERAL,751.0
2018,4,CATAMARCA,33.54
2018,4,CHACO,99.93
2018,4,CHUBUT,90.6
2018,4,CORDOBA,1056.76
2018,4,CORRIENTES,102.24
2018,4,ENTRE RIOS,208.26
2018,4,FORMOSA,58.87
2018,4,JUJUY,98.7
2018,4,LA PAMPA,81.4
2018,4,LA RIOJA,24.84
2018,4,MENDOZA,117.38
2018,4,MISIONES,137.82
2018,4,NEUQUEN,80.03
2018,4,RIO NEGRO,91.25
2018,4,SALTA,176.84
2018,4,SAN JUAN,43.6
2018,4,SAN LUIS,55.18
2018,4,SANTA CRUZ,56.94
2018,4,SANTA FE,599.12
2018,4,SANTIAGO DEL ESTERO,105.24
2018,4,TIERRA DEL FUEGO,46.18
2018,4,TUCUMAN,125.38
2018,3,BUENOS AIRES,2698.19
2018,3,CAPITAL FEDERAL,755.55
2018,3,CATAMARCA,83.18
2018,3,CHACO,99.16
2018,3,CHUBUT,89.86
2018,3,CORDOBA,1077.15
2018,3,CORRIENTES,101.21
2018,3,ENTRE RIOS,206.99
2018,3,FORMOSA,59.89
2018,3,JUJUY,91.77
2018,3,LA PAMPA,83.26
2018,3,LA RIOJA,24.02
2018,3,MENDOZA,117.51
2018,3,MISIONES,135.35
2018,3,NEUQUEN,80.39
2018,3,RIO NEGRO,95.21
2018,3,SALTA,176.0
2018,3,SAN JUAN,45.08
2018,3,SAN LUIS,55.3
2018,3,SANTA CRUZ,56.78
2018,3,SANTA FE,630.7
2018,3,SANTIAGO DEL ESTERO,108.88
2018,3,TIERRA DEL FUEGO,46.3
2018,3,TUCUMAN,125.82
2018,2,BUENOS AIRES,2662.86
2018,2,CAPITAL FEDERAL,742.74
2018,2,CATAMARCA,78.49
2018,2,CHACO,108.49
2018,2,CHUBUT,74.73
2018,2,CORDOBA,1114.48
2018,2,CORRIENTES,100.37
2018,2,ENTRE RIOS,211.24
2018,2,FORMOSA,52.06
2018,2,JUJUY,89.91
2018,2,LA PAMPA,82.55
2018,2,LA RIOJA,22.86
2018,2,MENDOZA,89.15
2018,2,MISIONES,134.96
2018,2,NEUQUEN,78.78
2018,2,RIO NEGRO,87.67
2018,2,SALTA,169.03
2018,2,SAN JUAN,47.92
2018,2,SAN LUIS,57.24
2018,2,SANTA CRUZ,53.34
2018,2,SANTA FE,615.4
2018,2,SANTIAGO DEL ESTERO,96.38
2018,2,TIERRA DEL FUEGO,41.09
2018,2,TUCUMAN,119.02
2018,1,BUENOS AIRES,2654.17
2018,1,CAPITAL FEDERAL,741.52
2018,1,CATAMARCA,89.0
2018,1,CHACO,109.74
2018,1,CHUBUT,72.82
2018,1,CORDOBA,1104.48
2018,1,CORRIENTES,105.86
2018,1,ENTRE RIOS,210.31
2018,1,FORMOSA,52.51
2018,1,JUJUY,88.66
2018,1,LA PAMPA,83.82
2018,1,LA RIOJA,23.76
2018,1,MENDOZA,88.34
2018,1,MISIONES,134.35
2018,1,NEUQUEN,77.05
2018,1,RIO NEGRO,90.02
2018,1,SALTA,175.45
2018,1,SAN JUAN,37.44
2018,1,SAN LUIS,61.97
2018,1,SANTA CRUZ,53.15
2018,1,SANTA FE,623.48
2018,1,SANTIAGO DEL ESTERO,96.38
2018,1,TIERRA DEL FUEGO,40.3
2018,1,TUCUMAN,117.58
2017,4,BUENOS AIRES,2656.8
2017,4,CAPITAL FEDERAL,740.37
2017,4,CATAMARCA,29.39
2017,4,CHACO,101.42
2017,4,CHUBUT,71.05
2017,4,CORDOBA,1040.72
2017,4,CORRIENTES,105.84
2017,4,ENTRE RIOS,209.56
2017,4,FORMOSA,49.09
2017,4,JUJUY,87.01
2017,4,LA PAMPA,84.08
2017,4,LA RIOJA,23.71
2017,4,MENDOZA,113.93
2017,4,MISIONES,133.49
2017,4,NEUQUEN,77.17
2017,4,RIO NEGRO,90.86
2017,4,SALTA,176.44
2017,4,SAN JUAN,39.49
2017,4,SAN LUIS,62.68
2017,4,SANTA CRUZ,50.21
2017,4,SANTA FE,628.93
2017,4,SANTIAGO DEL ESTERO,96.33
2017,4,TIERRA DEL FUEGO,40.08
2017,4,TUCUMAN,117.36
2017,3,BUENOS AIRES,2571.84
2017,3,CAPITAL FEDERAL,707.8
2017,3,CATAMARCA,40.77
2017,3,CHACO,90.29
2017,3,CHUBUT,70.17
2017,3,CORDOBA,1024.29
2017,3,CORRIENTES,93.73
2017,3,ENTRE RIOS,165.36
2017,3,FORMOSA,49.38
2017,3,JUJUY,84.66
2017,3,LA PAMPA,99.69
2017,3,LA RIOJA,23.96
2017,3,MENDOZA,113.72
2017,3,MISIONES,125.11
2017,3,NEUQUEN,110.0
2017,3,RIO NEGRO,57.89
2017,3,SALTA,254.91
2017,3,SAN JUAN,39.53
2017,3,SAN LUIS,62.62
2017,3,SANTA CRUZ,47.93
2017,3,SANTA FE,615.94
2017,3,SANTIAGO DEL ESTERO,97.94
2017,3,TIERRA DEL FUEGO,39.93
2017,3,TUCUMAN,179.57
2017,2,BUENOS AIRES,2580.46
2017,2,CAPITAL FEDERAL,708.95
2017,2,CATAMARCA,40.45
2017,2,CHACO,91.46
2017,2,CHUBUT,72.66
2017,2,CORDOBA,1019.61
2017,2,CORRIENTES,93.03
2017,2,ENTRE RIOS,162.5
2017,2,FORMOSA,47.89
2017,2,JUJUY,84.57
2017,2,LA PAMPA,99.28
2017,2,LA RIOJA,24.11
2017,2,MENDOZA,113.24
2017,2,MISIONES,123.03
2017,2,NEUQUEN,110.68
2017,2,RIO NEGRO,58.24
2017,2,SALTA,256.4
2017,2,SAN JUAN,40.62
2017,2,SAN LUIS,54.89
2017,2,SANTA CRUZ,50.14
2017,2,SANTA FE,618.93
2017,2,SANTIAGO DEL ESTERO,97.23
2017,2,TIERRA DEL FUEGO,38.9
2017,2,TUCUMAN,179.23
2017,1,BUENOS AIRES,2572.85
2017,1,CAPITAL FEDERAL,708.8
2017,1,CATAMARCA,29.66
2017,1,CHACO,87.92
2017,1,CHUBUT,72.84
2017,1,CORDOBA,1022.54
2017,1,CORRIENTES,93.33
2017,1,ENTRE RIOS,160.44
2017,1,FORMOSA,48.7
2017,1,JUJUY,84.12
2017,1,LA PAMPA,101.39
2017,1,LA RIOJA,24.42
2017,1,MENDOZA,116.67
2017,1,MISIONES,123.35
2017,1,NEUQUEN,110.78
2017,1,RIO NEGRO,52.48
2017,1,SALTA,171.11
2017,1,SAN JUAN,40.82
2017,1,SAN LUIS,57.1
2017,1,SANTA CRUZ,50.32
2017,1,SANTA FE,612.75
2017,1,SANTIAGO DEL ESTERO,97.56
2017,1,TIERRA DEL FUEGO,38.72
2017,1,TUCUMAN,124.66
2016,4,BUENOS AIRES,2535.92
2016,4,CAPITAL FEDERAL,712.48
2016,4,CATAMARCA,30.12
2016,4,CHACO,88.36
2016,4,CHUBUT,72.72
2016,4,CORDOBA,1009.28
2016,4,CORRIENTES,93.49
2016,4,ENTRE RIOS,155.92
2016,4,FORMOSA,46.29
2016,4,JUJUY,81.75
2016,4,LA PAMPA,100.57
2016,4,LA RIOJA,25.72
2016,4,MENDOZA,117.0
2016,4,MISIONES,123.22
2016,4,NEUQUEN,110.82
2016,4,RIO NEGRO,54.01
2016,4,SALTA,172.94
