Año,Trimestre,Provincia,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros)
2020,4,BUENOS AIRES,3232457,2906464,254292,14992,56709
2020,4,CAPITAL FEDERAL,1423882,1280284,112014,6604,24980
2020,4,CATAMARCA,33525,30145,2637,155,588
2020,4,CHACO,81113,72933,6381,376,1423
2020,4,CHUBUT,73019,65655,5744,339,1281
2020,4,CORDOBA,535102,481136,42096,2482,9388
2020,4,CORRIENTES,85319,76714,6712,396,1497
2020,4,ENTRE RIOS,178988,160937,14081,830,3140
2020,4,FORMOSA,34057,30623,2679,158,597
2020,4,JUJUY,45686,41079,3594,212,801
2020,4,LA PAMPA,70628,63505,5556,328,1239
2020,4,LA RIOJA,29306,26351,2305,136,514
2020,4,MENDOZA,196388,176583,15449,911,3445
2020,4,MISIONES,85762,77112,6747,398,1505
2020,4,NEUQUEN,74546,67028,5864,346,1308
2020,4,RIO NEGRO,84513,75990,6648,392,1483
2020,4,SALTA,101610,91363,7993,471,1783
2020,4,SAN JUAN,74837,67290,5887,347,1313
2020,4,SAN LUIS,34431,30958,2709,160,604
2020,4,SANTA CRUZ,27239,24492,2143,126,478
2020,4,SANTA FE,592374,532634,46601,2747,10392
2020,4,SANTIAGO DEL ESTERO,66338,59647,5219,308,1164
2020,4,TIERRA DEL FUEGO,21573,19398,1697,100,378
2020,4,TUCUMAN,181343,163055,14266,841,3181
2020,3,BUENOS AIRES,3233324,2919939,236054,15784,61547
2020,3,CAPITAL FEDERAL,1433000,1294110,104618,6995,27277
2020,3,CATAMARCA,33596,30339,2453,164,640
2020,3,CHACO,82542,74542,6026,403,1571
2020,3,CHUBUT,72950,65879,5326,356,1389
2020,3,CORDOBA,549383,496134,40109,2682,10458
2020,3,CORRIENTES,86349,77979,6304,422,1644
2020,3,ENTRE RIOS,181304,163732,13236,885,3451
2020,3,FORMOSA,34864,31485,2545,170,664
2020,3,JUJUY,46331,41841,3382,226,882
2020,3,LA PAMPA,70536,63699,5150,344,1343
2020,3,LA RIOJA,29404,26553,2147,144,560
2020,3,MENDOZA,196383,177349,14337,959,3738
2020,3,MISIONES,88884,80269,6489,434,1692
2020,3,NEUQUEN,74481,67261,5438,364,1418
2020,3,RIO NEGRO,85239,76977,6223,416,1623
2020,3,SALTA,103159,93160,7531,504,1964
2020,3,SAN JUAN,74844,67590,5464,365,1425
2020,3,SAN LUIS,34436,31098,2514,168,656
2020,3,SANTA CRUZ,27279,24635,1992,133,519
2020,3,SANTA FE,624379,563862,45584,3048,11885
2020,3,SANTIAGO DEL ESTERO,66338,59908,4843,324,1263
2020,3,TIERRA DEL FUEGO,21573,19482,1575,105,411
2020,3,TUCUMAN,181967,164330,13285,888,3464
2020,2,BUENOS AIRES,3232457,2906464,254292,14992,56709
2020,2,CAPITAL FEDERAL,1423882,1280284,112014,6604,24980
2020,2,CATAMARCA,33525,30145,2637,155,588
2020,2,CHACO,81113,72933,6381,376,1423
2020,2,CHUBUT,73019,65655,5744,339,1281
2020,2,CORDOBA,535102,481136,42096,2482,9388
2020,2,CORRIENTES,85319,76714,6712,396,1497
2020,2,ENTRE RIOS,178988,160937,14081,830,3140
2020,2,FORMOSA,34057,30623,2679,158,597
2020,2,JUJUY,45686,41079,3594,212,801
2020,2,LA PAMPA,70628,63505,5556,328,1239
2020,2,LA RIOJA,29306,26351,2305,136,514
2020,2,MENDOZA,196388,176583,15449,911,3445
2020,2,MISIONES,85762,77112,6747,398,1505
2020,2,NEUQUEN,74546,67028,5864,346,1308
2020,2,RIO NEGRO,84513,75990,6648,392,1483
2020,2,SALTA,101610,91363,7993,471,1783
2020,2,SAN JUAN,74837,67290,5887,347,1313
2020,2,SAN LUIS,34431,30958,2709,160,604
2020,2,SANTA CRUZ,27239,24492,2143,126,478
2020,2,SANTA FE,592374,532634,46601,2747,10392
2020,2,SANTIAGO DEL ESTERO,66338,59647,5219,308,1164
2020,2,TIERRA DEL FUEGO,21573,19398,1697,100,378
2020,2,TUCUMAN,181343,163055,14266,841,3181
2020,1,BUENOS AIRES,3261264,2925747,261533,14423,59561
2020,1,CAPITAL FEDERAL,1456196,1306383,116778,6440,26595
